idx,preproc_loops,python_loops,lean_loops,preproc_success,python_success,lean_success
0000,0,1,3,True,True,True
0001,0,1,2,True,True,True
0002,0,2,0,True,True,True
0003,2,1,1,True,True,True
0004,0,2,0,True,True,True
0005,0,2,1,True,True,True
0006,0,2,0,True,True,True
0007,0,1,2,True,True,True
0008,0,1,0,True,True,True
0009,0,0,2,True,True,True
0010,0,2,1,True,True,True
0011,2,1,0,True,True,True
0012,0,0,1,True,True,True
0013,0,0,0,True,True,True
0014,0,1,0,True,True,True
0015,0,1,1,True,True,True
0016,0,0,5,True,True,True
0017,0,2,3,True,True,True
0018,0,1,2,True,True,True
0019,0,0,1,True,True,True
0020,0,0,1,True,True,True
0021,0,1,4,True,True,True
0022,0,1,1,True,True,True
0023,0,4,0,True,True,True
0024,0,1,2,True,True,True
0025,0,1,5,True,True,True
0026,0,0,0,True,True,True
0027,0,0,3,True,True,True
0028,0,1,2,True,True,True
0029,0,3,0,True,True,True
0030,0,0,0,True,True,True
0031,0,1,0,True,True,True
0032,0,1,0,True,True,True
0033,0,0,1,True,True,True
0034,0,4,1,True,True,True
0035,0,1,2,True,True,True
0036,0,0,2,True,True,True
0037,0,1,3,True,True,True
0038,0,0,1,True,True,True
0039,0,3,1,True,True,True
0040,0,3,0,True,True,True
0041,0,3,0,True,True,True
0042,0,0,0,True,True,True
0043,0,2,1,True,True,True
0044,0,0,2,True,True,True
0045,0,2,0,True,True,True
0046,0,0,5,True,True,True
0047,0,0,1,True,True,True
0048,0,0,0,True,True,True
0049,0,1,1,True,True,True
0050,0,2,0,True,True,True
0051,0,1,2,True,True,True
0052,2,1,3,True,True,True
0053,0,0,1,True,True,True
0054,0,1,1,True,True,True
0055,0,1,0,True,True,True
0056,1,0,2,True,True,True
0057,0,0,0,True,True,True
0058,0,1,0,True,True,True
0059,0,2,1,True,True,True
0060,0,0,1,True,True,True
0061,0,0,1,True,True,True
0062,0,0,5,True,True,False
0063,0,4,0,True,True,True
0064,0,0,2,True,True,True
0065,0,0,0,True,True,True
